,Date,State,State_abb,Lat,Lon,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
0,1/22/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
1,1/23/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
2,1/24/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
3,1/25/2020,Illinois,IL,39.79487369,-88.65905633,1,0,0,0,0,0,0,0,0,0
4,1/25/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
5,1/26/2020,Arizona,AZ,32.92311986,-109.0097148,1,0,0,0,0,0,0,0,0,0
6,1/26/2020,California,CA,37.42948681,-120.2166639,2,0,0,0,0,0,0,0,0,0
7,1/26/2020,Illinois,IL,39.79487369,-88.65905633,1,0,0,0,0,0,0,0,0,0
8,1/26/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
9,1/27/2020,Arizona,AZ,32.92311986,-109.0097148,1,0,0,0,0,0,0,0,0,0
10,1/27/2020,California,CA,37.42948681,-120.2166639,2,0,0,0,0,0,0,0,0,0
11,1/27/2020,Illinois,IL,39.79487369,-88.65905633,1,0,0,0,0,0,0,0,0,0
12,1/27/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
13,1/28/2020,Arizona,AZ,32.92311986,-109.0097148,1,0,0,0,0,0,0,0,0,0
14,1/28/2020,California,CA,37.42948681,-120.2166639,2,0,0,0,0,0,0,0,0,0
15,1/28/2020,Illinois,IL,39.79487369,-88.65905633,1,0,0,0,0,0,0,0,0,0
16,1/28/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
17,1/29/2020,Arizona,AZ,32.92311986,-109.0097148,1,0,0,0,0,0,0,0,0,0
18,1/29/2020,California,CA,37.42948681,-120.2166639,2,0,0,0,0,0,0,0,0,0
19,1/29/2020,Illinois,IL,39.79487369,-88.65905633,1,0,0,0,0,0,0,0,0,0
20,1/29/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
21,1/30/2020,Arizona,AZ,32.92311986,-109.0097148,1,0,0,0,0,0,0,0,0,0
22,1/30/2020,California,CA,37.42948681,-120.2166639,2,0,0,0,0,0,0,0,0,0
23,1/30/2020,Illinois,IL,39.79487369,-88.65905633,1,0,0,0,0,0,0,0,0,0
24,1/30/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
25,1/31/2020,Arizona,AZ,32.92311986,-109.0097148,1,0,0,0,0,0,0,0,0,0
26,1/31/2020,California,CA,37.42948681,-120.2166639,2,0,0,0,0,0,0,0,0,0
27,1/31/2020,Illinois,IL,39.79487369,-88.65905633,2,0,0,0,0,0,0,0,0,0
28,1/31/2020,Washington,WA,46.70352869,-119.3591342,1,0,0,0,0,0,0,0,0,0
29,2/1/2020,Arizona,AZ,32.92311986,-109.0097148,24,0,0,0,0,0,0,0,0,0
30,2/1/2020,California,CA,37.42948681,-120.2166639,66,0,0,0,0,0,0,0,0,0
31,2/1/2020,Illinois,IL,39.79487369,-88.65905633,16,0,0,0,0,0,0,0,0,0
32,2/1/2020,Massachusetts,MA,40.98575192,-69.50445945,27,0,0,0,0,0,0,0,0,0
33,2/1/2020,Washington,WA,46.70352869,-119.3591342,8,0,0,0,0,0,0,0,0,0
34,2/3/2020,California,CA,37.42948681,-120.2166639,108,0,0,0,0,0,0,0,0,0
35,2/5/2020,Wisconsin,WI,44.11921289,-89.35496561,27,0,0,0,0,0,0,0,0,0
36,2/9/2020,Illinois,IL,39.79487369,-88.65905633,42,0,42,0,0,0,0,0,0,0
37,2/9/2020,Washington,WA,46.70352869,-119.3591342,20,0,20,0,0,0,0,0,0,0
38,2/11/2020,California,CA,37.42948681,-120.2166639,2,0,0,0,0,0,0,0,0,0
39,2/13/2020,California,CA,37.42948681,-120.2166639,16,0,0,0,0,0,0,0,0,0
40,2/13/2020,Texas,TX,31.51025632,-98.252124,26,0,0,0,0,0,0,0,0,0
41,2/21/2020,California,CA,37.42948681,-120.2166639,71,0,21,0,0,0,0,0,0,0
42,2/21/2020,Nebraska,NE,41.11807146,-98.34769384,11,0,0,0,0,0,0,0,0,0
43,2/21/2020,Texas,TX,31.51025632,-98.252124,2,0,0,0,0,0,0,0,0,0
44,2/22/2020,California,CA,37.42948681,-120.2166639,10,0,0,0,0,0,0,0,0,0
45,2/22/2020,Nebraska,NE,41.11807146,-98.34769384,22,0,0,0,0,0,0,0,0,0
46,2/22/2020,Texas,TX,31.51025632,-98.252124,4,0,0,0,0,0,0,0,0,0
47,2/24/2020,California,CA,37.42948681,-120.2166639,0,0,0,0,0,0,0,0,0,0
48,2/24/2020,Nebraska,NE,41.11807146,-98.34769384,0,0,0,0,0,0,0,0,0,0
49,2/24/2020,Texas,TX,31.51025632,-98.252124,0,0,0,0,0,0,0,0,0,0
50,2/25/2020,Arizona,AZ,32.92311986,-109.0097148,11,0,11,0,0,0,0,0,0,0
51,2/27/2020,California,CA,37.42948681,-120.2166639,24,0,0,0,0,0,0,0,0,0
52,2/28/2020,Massachusetts,MA,40.98575192,-69.50445945,7,0,7,0,0,0,0,0,0,0
53,2/29/2020,California,CA,37.42948681,-120.2166639,6,0,2,0,0,0,0,0,0,0
54,2/29/2020,Oregon,OR,44.56902041,-121.6431079,2,0,0,0,0,0,0,0,0,0
55,2/29/2020,Washington,WA,46.70352869,-119.3591342,7,1,1,0,0,0,0,0,0,0
56,3/1/2020,Illinois,IL,39.79487369,-88.65905633,3,0,2,0,0,0,0,0,0,0
57,3/1/2020,Rhode Island,RI,39.28655632,-67.38505529,1,0,0,0,0,0,0,0,0,0
58,3/1/2020,Washington,WA,46.70352869,-119.3591342,11,1,1,0,0,0,0,0,0,0
59,3/2/2020,California,CA,37.42948681,-120.2166639,19,0,1,0,0,0,0,0,0,0
60,3/2/2020,Florida,FL,28.67071509,-82.17449835,9,0,0,0,0,0,0,0,0,0
61,3/2/2020,Illinois,IL,39.79487369,-88.65905633,12,0,6,0,0,0,0,0,0,0
62,3/2/2020,New Hampshire,NH,42.70899125,-70.33397717,1,0,0,0,0,0,0,0,0,0
63,3/2/2020,New York,NY,42.21578381,-74.85121939,3,0,0,0,0,0,0,0,0,0
64,3/2/2020,Oregon,OR,44.56902041,-121.6431079,10,0,0,0,0,0,0,0,0,0
65,3/2/2020,Rhode Island,RI,39.28655632,-67.38505529,10,0,0,0,0,0,0,0,0,0
66,3/2/2020,Washington,WA,46.70352869,-119.3591342,18,6,1,0,0,0,0,0,0,0
67,3/3/2020,Arizona,AZ,32.92311986,-109.0097148,3,0,0,0,0,0,0,0,0,0
68,3/3/2020,California,CA,37.42948681,-120.2166639,40,0,2,0,0,0,0,0,0,0
69,3/3/2020,Florida,FL,28.67071509,-82.17449835,14,0,0,0,0,0,0,0,0,0
70,3/3/2020,Georgia,GA,32.72528337,-83.33925179,8,0,0,0,0,0,0,0,0,0
71,3/3/2020,Massachusetts,MA,40.98575192,-69.50445945,3,0,0,0,0,0,0,0,0,0
72,3/3/2020,New Hampshire,NH,42.70899125,-70.33397717,10,0,0,0,0,0,0,0,0,0
73,3/3/2020,New York,NY,42.21578381,-74.85121939,1,0,0,0,0,0,0,0,0,0
74,3/3/2020,North Carolina,NC,35.58550831,-79.41116704,7,0,0,0,0,0,0,0,0,0
75,3/3/2020,Oregon,OR,44.56902041,-121.6431079,8,0,0,0,0,0,0,0,0,0
76,3/3/2020,Washington,WA,46.70352869,-119.3591342,27,7,1,0,0,0,0,0,0,0
77,3/3/2020,Wisconsin,WI,44.11921289,-89.35496561,7,0,7,0,0,0,0,0,0,0
78,3/4/2020,California,CA,37.42948681,-120.2166639,28,2,0,0,0,0,0,0,0,0
79,3/4/2020,New York,NY,42.21578381,-74.85121939,10,0,0,0,0,0,0,0,0,0
80,3/4/2020,Washington,WA,46.70352869,-119.3591342,39,10,1,0,0,0,0,0,0,0
81,3/5/2020,California,CA,37.42948681,-120.2166639,70,0,7,0,0,0,0,0,0,0
82,3/5/2020,Florida,FL,28.67071509,-82.17449835,3,0,0,0,0,0,0,0,0,0
83,3/5/2020,Illinois,IL,39.79487369,-88.65905633,10,0,4,0,0,0,0,0,0,0
84,3/5/2020,Nevada,NV,37.86296131,-113.7655968,3,0,0,0,0,0,0,0,0,0
85,3/5/2020,New Jersey,NJ,39.45336282,-73.04163372,4,0,0,0,0,0,0,0,0,0
86,3/5/2020,New York,NY,42.21578381,-74.85121939,23,0,0,0,0,0,0,0,0,0
87,3/5/2020,Tennessee,TN,35.52194555,-85.27287797,5,0,0,0,0,0,0,0,0,0
88,3/5/2020,Texas,TX,31.51025632,-98.252124,4,0,0,0,0,0,0,0,0,0
89,3/5/2020,Washington,WA,46.70352869,-119.3591342,73,11,1,0,0,0,0,0,0,0
90,3/6/2020,Arizona,AZ,32.92311986,-109.0097148,2,0,0,0,0,0,0,0,0,0
91,3/6/2020,California,CA,37.42948681,-120.2166639,38,3,0,0,0,0,0,0,0,0
92,3/6/2020,Colorado,CO,38.64423049,-104.6355054,16,0,0,0,0,0,0,0,0,0
93,3/6/2020,Georgia,GA,32.72528337,-83.33925179,1,0,0,0,0,0,0,0,0,0
94,3/6/2020,Indiana,IN,39.83630193,-86.16071339,4,0,0,0,0,0,0,0,0,0
95,3/6/2020,Kentucky,KY,37.46646798,-84.8027482,4,0,0,0,0,0,0,0,0,0
96,3/6/2020,Maryland,MD,38.68546923,-76.02496138,6,0,0,0,0,0,0,0,0,0
97,3/6/2020,Massachusetts,MA,40.98575192,-69.50445945,12,0,2,0,0,0,0,0,0,0
98,3/6/2020,Minnesota,MN,45.20101058,-93.95300562,4,0,0,0,0,0,0,0,0,0
99,3/6/2020,Nebraska,NE,41.11807146,-98.34769384,3,0,0,0,0,0,0,0,0,0
100,3/6/2020,Nevada,NV,37.86296131,-113.7655968,2,0,0,0,0,0,0,0,0,0
101,3/6/2020,New York,NY,42.21578381,-74.85121939,36,0,0,0,0,0,0,0,0,0
102,3/6/2020,North Carolina,NC,35.58550831,-79.41116704,4,0,0,0,0,0,0,0,0,0
103,3/6/2020,Pennsylvania,PA,40.80076573,-77.5705728,8,0,0,0,0,0,0,0,0,0
104,3/6/2020,Texas,TX,31.51025632,-98.252124,3,0,0,0,0,0,0,0,0,0
105,3/6/2020,Washington,WA,46.70352869,-119.3591342,97,13,1,0,0,0,0,0,0,0
106,3/7/2020,Arizona,AZ,32.92311986,-109.0097148,15,0,3,0,0,0,0,0,0,0
107,3/7/2020,California,CA,37.42948681,-120.2166639,65,0,1,0,0,0,0,0,0,0
108,3/7/2020,Colorado,CO,38.64423049,-104.6355054,12,0,0,0,0,0,0,0,0,0
109,3/7/2020,Connecticut,CT,41.08680019,-71.7886799,2,0,0,0,0,0,0,0,0,0
110,3/7/2020,Florida,FL,28.67071509,-82.17449835,6,0,0,0,0,0,0,0,0,0
111,3/7/2020,Georgia,GA,32.72528337,-83.33925179,10,0,0,0,0,0,0,0,0,0
112,3/7/2020,Hawaii,HI,19.9480403,-149.194191,2,0,0,0,0,0,0,0,0,0
113,3/7/2020,Illinois,IL,39.79487369,-88.65905633,6,0,2,0,0,0,0,0,0,0
114,3/7/2020,Massachusetts,MA,40.98575192,-69.50445945,4,0,0,0,0,0,0,0,0,0
115,3/7/2020,New Jersey,NJ,39.45336282,-73.04163372,4,0,0,0,0,0,0,0,0,0
116,3/7/2020,New York,NY,42.21578381,-74.85121939,82,0,0,0,0,0,0,0,0,0
117,3/7/2020,Oklahoma,OK,35.43674413,-96.89775959,3,0,0,0,0,0,0,0,0,0
118,3/7/2020,Oregon,OR,44.56902041,-121.6431079,7,0,0,0,0,0,0,0,0,0
119,3/7/2020,Rhode Island,RI,39.28655632,-67.38505529,9,0,0,0,0,0,0,0,0,0
120,3/7/2020,South Carolina,SC,33.95085889,-80.97276798,5,0,0,0,0,0,0,0,0,0
121,3/7/2020,Texas,TX,31.51025632,-98.252124,13,0,0,0,0,0,0,0,0,0
122,3/7/2020,Utah,UT,39.01014766,-109.6341111,3,0,0,0,0,0,0,0,0,0
123,3/7/2020,Washington,WA,46.70352869,-119.3591342,105,16,1,0,0,0,0,0,0,0
124,3/8/2020,California,CA,37.42948681,-120.2166639,150,0,2,0,0,0,0,0,0,0
125,3/8/2020,Connecticut,CT,41.08680019,-71.7886799,2,0,0,0,0,0,0,0,0,0
126,3/8/2020,Florida,FL,28.67071509,-82.17449835,11,4,0,0,0,0,0,0,0,0
127,3/8/2020,Georgia,GA,32.72528337,-83.33925179,2,0,0,0,0,0,0,0,0,0
128,3/8/2020,Illinois,IL,39.79487369,-88.65905633,14,0,4,0,0,0,0,0,0,0
129,3/8/2020,Indiana,IN,39.83630193,-86.16071339,1,0,0,0,0,0,0,0,0,0
130,3/8/2020,Kansas,KS,38.4593703,-97.57663526,2,0,0,0,0,0,0,0,0,0
131,3/8/2020,Maryland,MD,38.68546923,-76.02496138,10,0,0,0,0,0,0,0,0,0
132,3/8/2020,Massachusetts,MA,40.98575192,-69.50445945,46,0,2,0,0,0,0,0,0,0
