,index,county_fips,County Name,State,confirmed,deaths,population,mortality,deaths_per_million,cases_per_million,likely_infected_high,likely_infected_low,county_state,segregation_level,percent_black,median_household_income,percent_adults_with_obesity,percent_smokers,percent_adults_with_diabetes,percent_with_access_to_exercise_opportunities,percent_some_college,percent_unemployed,percent_children_in_poverty,percent_female,percent_rural,percent_non_hispanic_white,food_environment_index,percent_food_insecure,income_ratio,80th_percentile_income,percent_excessive_drinking,average_number_of_physically_unhealthy_days,percent_uninsured,high_school_graduation_rate,percent_single_parent_households,social_association_rate,infant_mortality_rate,age_adjusted_death_rate,percent_below_18,percent_above_65,income_inequality,life_expectancy,poor_fair_health,over_crowding
0,0,1001,Autauga County,AL,159,3,55869,0.018867925,53.69704129,2845.943189,0.23,0.08,"Autauga County, AL",24.61913786,19.34317728,59338,33.3,18.08155718,11.1,69.13012406,62.00997368,3.629078861,19.3,51.44871495,42.00216232,74.30801604,7.2,13.2,5.234597269,110026,15.02603126,4.743888867,8.721685951,90,26.24267908,12.07120208,7.940108893,417.5475505,0.224347947,0.160257983,4.920017801,79.08913021,,
1,1,1003,Baldwin County,AL,274,9,223234,0.032846715,40.31643925,1227.411595,0.1,0.03,"Baldwin County, AL",41.27176277,8.783975929,57588,31,17.4890326,10.7,73.71354895,67.37161982,3.615382156,13.9,51.53837686,42.27909911,83.11133739,8,11.6,4.417766679,111447,17.9583101,4.224519202,11.33340447,86.3615768,24.13960145,10.20561732,5.546700669,353.3431105,,,,,,
2,2,1005,Barbour County,AL,110,1,24686,0.009090909,40.50879041,4455.966945,0.36,0.12,"Barbour County, AL",25.03913235,48.03263534,34382,41.7,21.99998453,17.6,53.16676986,34.85764862,5.171384211,43.9,47.21675174,67.7896347,45.64125236,5.6,22,5.681410019,76557,12.84401555,5.430278859,12.24279246,81.41025641,56.60342605,7.518796993,,497.3500621,,,,,,
3,3,1007,Bibb County,AL,59,1,22394,0.016949153,44.65481825,2634.634277,0.21,0.07,"Bibb County, AL",52.60379424,21.12053571,46064,37.6,19.11419989,14.5,16.25136374,44.13735343,3.971827734,27.8,46.78125,68.35260746,74.58928571,7.8,14.3,4.368580511,87957,15.57004237,4.591482438,10.20625259,83.76383764,28.68923611,8.381859891,12.24489796,589.0411168,,,,,,
4,4,1009,Blount County,AL,49,1,57826,0.020408163,17.29325909,847.3696953,0.07,0.02,"Blount County, AL",48.21482288,1.462655602,50412,33.8,19.20867197,17,15.63448589,53.36107325,3.511157322,18,50.72614108,89.95150204,86.8862379,8.4,10.7,4.430262332,91702,14.23059383,4.86080763,13.36075949,93.46879536,28.56182796,8.446382707,6.84199273,515.6118228,,,,,,
5,5,1011,Bullock County,AL,111,1,10101,0.009009009,99.000099,10989.01099,0.88,0.31,"Bullock County, AL",31.84648148,69.54034326,29267,37.2,22.89466401,23.7,2.501374382,34.97609415,4.690117253,68.3,45.48234366,51.37438153,21.2172026,4.3,24.8,7.410195994,69189,12.09410123,5.359159343,11.44037612,70.24793388,74.78991597,7.760209526,,562.24753,,,,,,
6,6,1013,Butler County,AL,344,12,19448,0.034883721,617.0300288,17688.19416,1,0.5,"Butler County, AL",38.01121561,44.55792683,37365,43.3,21.76533496,19.2,48.57974889,41.67875648,4.790217635,36.3,53.42987805,71.23215735,51.2550813,6.6,20.6,5.423595582,80036,11.85740343,5.400806197,11.18600954,81.58995816,52.71283635,9.079445145,,609.1697074,,,,,,
7,7,1015,Calhoun County,AL,141,3,113605,0.021276596,26.40728841,1241.142555,0.1,0.03,"Calhoun County, AL",44.54230412,20.85021483,45400,38.5,20.61256038,17.5,47.7212158,59.24398864,4.652832159,26.5,51.94658593,33.69682556,72.02499191,6.9,15.7,5.023896449,90822,13.84223015,4.88037674,11.92916752,92.36804565,40.19194475,14.46900495,8.026030369,574.5638416,,,,,,
8,8,1017,Chambers County,AL,336,23,33254,0.068452381,691.6461178,10104.04763,0.81,0.28,"Chambers County, AL",26.7478613,39.56567009,39917,40.1,19.39292705,19.9,61.86467923,48.46033403,3.908091123,30.7,52.12553919,49.14803449,55.23129555,6.4,17.9,4.744932135,80754,12.74573462,4.941178357,11.93807681,86.23853211,46.55544369,17.79728888,8.106116433,511.6265172,,,,,,
9,9,1019,Cherokee County,AL,33,3,26196,0.090909091,114.521301,1259.734311,0.1,0.04,"Cherokee County, AL",32.05770923,4.240934235,42132,35,17.49867379,15.2,33.42952788,51.83621006,3.570813974,24.7,50.46097111,85.73627304,91.65642286,8.3,12.5,4.708465031,81932,14.10656285,4.775614101,11.17264992,94.9044586,23.77874929,8.5083343,,545.2336902,,,,,,
